event_id,name,segment,genre,subgenre,venue_name,city,state,country,datetime_utc,url,event_date,event_time,Y,X,event_lat,event_lon,capacity
vv17fZbsGkReyoNe,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-06 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-05-2025/event/0500631BC2E518C2,2025-12-06,,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkRezsxY,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-05 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-04-2025/event/0500631BC2E318B0,2025-12-05,,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReBoN1,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-06 19:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-06-2025/event/0500631BC2E918CA,2025-12-06,19:00:00,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReysN6,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-07 01:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-06-2025/event/0500631BC2E718C7,2025-12-07,01:00:00,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReBsN2,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-08 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-07-2025/event/0500631BC2EB18CF,2025-12-08,,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReDoNL,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-07 18:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-07-2025/event/0500631BC2ED18DF,2025-12-07,18:00:00,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReDsNP,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-10 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-09-2025/event/0500631BC2EF18E5,2025-12-10,,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReHo0r,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-11 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-10-2025/event/0500631BC2F1191E,2025-12-11,,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReHsPA,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-12 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-11-2025/event/0500631BC2F31945,2025-12-12,,39.7684,-86.1581,39.7684,-86.1581,2400.0
vv17fZbsGkReWoPu,Hamilton (Touring),Arts & Theatre,Theatre,Musical,Old National Centre,Indianapolis,IN,United States Of America,2025-12-13 00:00:00+00:00,https://www.ticketmaster.com/hamilton-touring-indianapolis-indiana-12-12-2025/event/0500631BC2F5194D,2025-12-13,,39.7684,-86.1581,39.7684,-86.1581,2400.0
